month,k,precision_at_k,fires_in_top_k,rows_in_month
2024-01,100,0.03,3,310387
2024-02,100,0.0,0,310387
2024-03,100,0.0,0,310387
2024-04,100,0.73,73,310387
2024-05,100,0.02,2,310387
2024-06,100,0.0,0,310387
2024-07,100,0.0,0,310387
2024-08,100,0.06,6,310387
2024-09,100,0.11,11,310387
2024-10,100,0.07,7,310387
2024-11,100,0.22,22,310387
2024-12,100,0.0,0,310387
2024-01,500,0.078,39,310387
2024-02,500,0.038,19,310387
2024-03,500,0.002,1,310387
2024-04,500,0.652,326,310387
2024-05,500,0.044,22,310387
2024-06,500,0.0,0,310387
2024-07,500,0.0,0,310387
2024-08,500,0.022,11,310387
2024-09,500,0.152,76,310387
2024-10,500,0.06,30,310387
2024-11,500,0.056,28,310387
2024-12,500,0.002,1,310387
2024-01,1000,0.044,44,310387
2024-02,1000,0.027,27,310387
2024-03,1000,0.007,7,310387
2024-04,1000,0.415,415,310387
2024-05,1000,0.05,50,310387
2024-06,1000,0.0,0,310387
2024-07,1000,0.011,11,310387
2024-08,1000,0.025,25,310387
2024-09,1000,0.114,114,310387
2024-10,1000,0.048,48,310387
2024-11,1000,0.079,79,310387
2024-12,1000,0.001,1,310387
2024-01,5000,0.053,265,310387
2024-02,5000,0.02,100,310387
2024-03,5000,0.0404,202,310387
2024-04,5000,0.2074,1037,310387
2024-05,5000,0.0254,127,310387
2024-06,5000,0.0536,268,310387
2024-07,5000,0.0698,349,310387
2024-08,5000,0.0524,262,310387
2024-09,5000,0.066,330,310387
2024-10,5000,0.0408,204,310387
2024-11,5000,0.0364,182,310387
2024-12,5000,0.0312,156,310387
2024-01,10000,0.0397,397,310387
2024-02,10000,0.0156,156,310387
2024-03,10000,0.0362,362,310387
2024-04,10000,0.1138,1138,310387
2024-05,10000,0.0245,245,310387
2024-06,10000,0.0582,582,310387
2024-07,10000,0.0481,481,310387
2024-08,10000,0.0521,521,310387
2024-09,10000,0.0496,496,310387
2024-10,10000,0.0355,355,310387
2024-11,10000,0.0486,486,310387
2024-12,10000,0.0343,343,310387
