CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
Vol de véhicule à moteur,2018-09-13,jour,30.0,294904.159,5047548.921,-73.626778,45.56778
Vol de véhicule à moteur,2018-04-30,jour,30.0,294904.159,5047548.921,-73.626778,45.56778
Vol de véhicule à moteur,2018-09-01,nuit,7.0,290274.565,5042150.474,-73.685928,45.519122
Méfait,2017-07-30,jour,38.0,297654.715,5041877.073,-73.591457,45.516776
Vol dans / sur véhicule à moteur,2017-08-01,jour,39.0,294259.781,5051450.0,-73.635117,45.602873
Vol de véhicule à moteur,2017-08-01,jour,5.0,285957.556,5033790.677,-73.740866,45.443794
Introduction,2018-08-28,soir,7.0,290274.565,5042150.474,-73.685928,45.519122
Introduction,2018-01-10,jour,30.0,294670.696,5047694.596,-73.629772,45.569087
Méfait,2018-11-12,soir,30.0,294670.696,5047694.596,-73.629772,45.569087
Méfait,2018-08-15,jour,30.0,294670.696,5047694.596,-73.629772,45.569087
Introduction,2018-01-11,soir,30.0,294670.696,5047694.596,-73.629772,45.569087
Vols qualifiés,2017-08-02,soir,21.0,300149.764,5041903.012,-73.559522,45.517031
Introduction,2017-08-03,jour,22.0,300495.603,5042438.087,-73.5551,45.521848
Introduction,2017-08-04,jour,48.0,302206.204,5050672.094,-73.533246,45.595949
Introduction,2017-08-22,soir,39.0,294834.485,5050681.073,-73.627735,45.595963
Méfait,2017-08-23,jour,12.0,298266.06,5038914.047,-73.583593,45.49012
Introduction,2018-01-10,soir,30.0,294670.696,5047694.596,-73.629772,45.569087
Introduction,2018-01-10,jour,30.0,294670.696,5047694.596,-73.629772,45.569087
Introduction,2018-01-08,jour,30.0,294670.696,5047694.596,-73.629772,45.569087
Introduction,2018-09-14,soir,30.0,294670.696,5047694.596,-73.629772,45.569087
Méfait,2018-10-16,jour,8.0,292010.969,5032898.0,-73.663461,45.435898
Vol dans / sur véhicule à moteur,2018-09-05,jour,38.0,297929.907,5042565.579,-73.587945,45.522974
Vol dans / sur véhicule à moteur,2017-08-25,jour,22.0,300675.216,5042710.099,-73.552803,45.524296
Introduction,2017-08-25,soir,16.0,301261.624,5036460.927,-73.545251,45.468067
Introduction,2017-09-09,soir,39.0,294259.781,5051450.0,-73.635117,45.602873
Introduction,2017-09-10,soir,35.0,297269.069,5044288.756,-73.59643,45.538473
Introduction,2018-02-17,jour,21.0,300632.0,5041020.0,-73.553342,45.509088
Vol dans / sur véhicule à moteur,2018-10-28,jour,21.0,300632.0,5041020.0,-73.553342,45.509088
Introduction,2017-09-11,jour,39.0,293808.438,5049462.5,-73.640859,45.584982
Vol dans / sur véhicule à moteur,2017-09-11,soir,7.0,290109.1,5042399.839,-73.688054,45.521362
Introduction,2017-09-13,nuit,21.0,300166.671,5041928.882,-73.559306,45.517264
Vol dans / sur véhicule à moteur,2017-09-12,jour,31.0,295933.862,5045137.958,-73.613543,45.546099
Méfait,2017-09-13,jour,7.0,291073.469,5041533.5,-73.675685,45.513586
Vol dans / sur véhicule à moteur,2017-09-14,jour,44.0,299537.391,5048547.431,-73.567431,45.576815
Vol de véhicule à moteur,2017-09-15,nuit,27.0,292211.63,5046759.25,-73.661252,45.560631
Introduction,2016-07-29,soir,7.0,291448.766,5041195.963,-73.670873,45.510556
Introduction,2016-07-30,jour,38.0,299198.427,5040863.067,-73.571687,45.507666
Méfait,2016-07-30,soir,33.0,295536.085,5043174.658,-73.6186,45.528427
Méfait,2016-09-04,jour,38.0,297184.157,5042137.382,-73.597484,45.519114
Vol de véhicule à moteur,2016-09-05,soir,7.0,286683.8435,5042287.047,-73.731895,45.520267
Vol de véhicule à moteur,2018-12-31,nuit,9.0,291612.375,5035291.0,-73.66862,45.457424
Vol dans / sur véhicule à moteur,2018-01-08,jour,27.0,294163.348,5045419.469,-73.636222,45.548607
Introduction,2018-11-12,soir,27.0,294163.348,5045419.469,-73.636222,45.548607
Introduction,2018-12-22,soir,27.0,294163.348,5045419.469,-73.636222,45.548607
Méfait,2018-10-24,jour,27.0,294163.348,5045419.469,-73.636222,45.548607
Vol dans / sur véhicule à moteur,2017-08-03,jour,45.0,296483.624,5055233.772,-73.606674,45.636951
Introduction,2017-08-23,jour,7.0,285593.476,5039039.189,-73.745725,45.491012
Introduction,2017-08-23,jour,39.0,295136.089,5054000.09,-73.623934,45.625832
Introduction,2017-08-23,jour,16.0,298044.531,5033272.0,-73.586349,45.439348
Vol de véhicule à moteur,2017-08-24,jour,27.0,292364.48,5048228.033,-73.659332,45.57385
Introduction,2017-08-24,jour,39.0,295293.737,5054154.659,-73.621916,45.627225
Introduction,2017-08-25,jour,27.0,292147.722,5047324.817,-73.662086,45.565719
Introduction,2017-08-25,soir,23.0,301167.087,5044717.61,-73.546521,45.542364
Introduction,2017-08-25,soir,39.0,294215.5243,5052767.662,-73.635713,45.614729
Vols qualifiés,2018-09-14,soir,27.0,294163.348,5045419.469,-73.636222,45.548607
Introduction,2018-06-18,jour,24.0,295435.804,5041998.158,-73.619861,45.517839
Introduction,2018-11-08,soir,24.0,295435.804,5041998.158,-73.619861,45.517839
Vol dans / sur véhicule à moteur,2018-02-02,soir,42.0,298486.8,5048362.937,-73.580891,45.575146
Introduction,2018-07-18,soir,42.0,298486.8,5048362.937,-73.580891,45.575146
Vol de véhicule à moteur,2018-02-03,nuit,46.0,300206.969,5052306.5,-73.558887,45.610645
Vol dans / sur véhicule à moteur,2017-09-09,nuit,7.0,287244.719,5038838.5,-73.724592,45.48925
Introduction,2017-09-09,nuit,38.0,297681.812,5042182.075,-73.591115,45.519521
Méfait,2017-09-10,jour,23.0,301474.087,5044587.274,-73.542589,45.541192
Vol dans / sur véhicule à moteur,2017-09-12,jour,48.0,302411.882,5051990.611,-73.530617,45.607814
Vol dans / sur véhicule à moteur,2017-08-17,nuit,33.0,294589.972,5043059.521,-73.63071,45.527378
Introduction,2018-09-25,jour,46.0,300206.969,5052306.5,-73.558887,45.610645
Introduction,2018-04-21,soir,24.0,295946.813,5041673.5,-73.613314,45.514925
Vols qualifiés,2018-07-05,jour,24.0,295946.813,5041673.5,-73.613314,45.514925
Vol dans / sur véhicule à moteur,2018-10-24,soir,42.0,296487.906,5048992.0,-73.606513,45.580786
Introduction,2016-09-09,jour,27.0,292087.551,5045786.549,-73.662816,45.551876
Introduction,2016-09-09,soir,31.0,295270.495,5045555.567,-73.622046,45.549848
Introduction,2016-10-12,jour,22.0,300675.216,5042710.099,-73.552803,45.524296
Méfait,2016-10-18,soir,48.0,303812.316,5049967.11,-73.512658,45.589609
Introduction,2016-11-15,soir,21.0,300117.94,5041852.266,-73.559929,45.516574
Introduction,2017-08-20,jour,48.0,303311.615,5050186.605,-73.519076,45.591583
Méfait,2017-08-20,nuit,31.0,295610.654,5045341.884,-73.617686,45.54793
Introduction,2017-09-16,soir,22.0,300446.504,5042365.087,-73.555728,45.521191
Vols qualifiés,2017-09-16,soir,46.0,301799.197,5051374.59,-73.538468,45.602268
Vol dans / sur véhicule à moteur,2017-10-30,soir,27.0,292579.736,5046971.568,-73.656542,45.562548
Vols qualifiés,2017-10-31,jour,21.0,300166.671,5041928.882,-73.559306,45.517264
Méfait,2017-10-31,jour,39.0,293493.656,5049888.5,-73.644902,45.588811
Vol dans / sur véhicule à moteur,2017-10-31,soir,39.0,295680.719,5053389.5,-73.616938,45.620346
Vols qualifiés,2017-11-02,jour,21.0,300026.312,5041712.579,-73.5611,45.515316
Vol dans / sur véhicule à moteur,2015-12-10,soir,46.0,299675.192,5050910.873,-73.565691,45.598083
Vol dans / sur véhicule à moteur,2015-12-11,jour,21.0,300642.816,5040605.88,-73.5532,45.505362
Méfait,2016-03-31,jour,48.0,302798.907,5051108.096,-73.525651,45.599874
Méfait,2016-04-01,jour,46.0,299675.192,5050910.873,-73.565691,45.598083
Méfait,2016-04-01,jour,11.0,294581.145,5036889.003,-73.630694,45.471853
Introduction,2016-04-02,jour,10.0,289187.444,5043658.926,-73.699892,45.532672
Méfait,2016-05-10,soir,8.0,288320.031,5034213.0,-73.71068,45.447654
Vols qualifiés,2016-05-10,jour,46.0,299675.192,5050910.873,-73.565691,45.598083
Vol de véhicule à moteur,2016-05-11,soir,46.0,299141.42,5051031.626,-73.572534,45.599166
Vol de véhicule à moteur,2016-05-11,soir,46.0,300159.557,5050702.45,-73.55948,45.596211
Vol dans / sur véhicule à moteur,2016-05-12,nuit,42.0,296869.781,5049623.0,-73.60163,45.586468
Vol de véhicule à moteur,2016-05-12,jour,23.0,301808.927,5045698.823,-73.538308,45.551196
